TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,ORDINAL_POSITION,IS_PRIMARY_KEY,SOURCE
DataSync,AlertConfiguration_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,AlertConfiguration_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,AlertConfiguration_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,AlertConfiguration_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,AlertConfiguration_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,AlertConfiguration_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,AlertConfiguration_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,AlertConfiguration_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,AlertConfiguration_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,AlertConfiguration_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,AlertConfiguration_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,AlertConfiguration_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,AlertConfiguration_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,AttributeDataType_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,AttributeDataType_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,AttributeDataType_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,AttributeDataType_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,AttributeDataType_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,AttributeDataType_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,AttributeDataType_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,AttributeDataType_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,AttributeDataType_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,AttributeDataType_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,AttributeDataType_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,AttributeDataType_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,AttributeDataType_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,BarCodeConfig_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,BarCodeConfig_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,BarCodeConfig_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,BarCodeConfig_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,BarCodeConfig_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,BarCodeConfig_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,BarCodeConfig_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,BarCodeConfig_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,BarCodeConfig_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,BarCodeConfig_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,BarCodeConfig_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,BarCodeConfig_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,BarCodeConfig_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,ClientDocumentMapping_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,ClientDocumentMapping_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,ClientEmailTemplate_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,ClientEmailTemplate_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,ClientExchangeMaster_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,ClientExchangeMaster_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,ClientExtractedData_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,ClientExtractedData_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,ClientExtractedData_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,ClientExtractedData_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,ClientExtractedData_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,ClientExtractedData_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,ClientExtractedData_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,ClientExtractedData_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,ClientExtractedData_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,ClientExtractedData_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,ClientExtractedData_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,ClientExtractedData_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,ClientExtractedData_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,ClientMaster_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,ClientMaster_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,ClientMaster_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,ClientMaster_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,ClientMaster_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,ClientMaster_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,ClientMaster_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,ClientMaster_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,ClientMaster_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,ClientMaster_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,ClientMaster_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,ClientMaster_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,ClientMaster_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,ClientStateQueueMapping_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,ClientStateQueueMapping_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,ConfigurationInformation_dss_tracking,Id,int,,10,0,NO,,1,YES,idp
DataSync,ConfigurationInformation_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,ConfigurationInformation_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,ConfigurationInformation_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,ConfigurationInformation_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,ConfigurationInformation_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,ConfigurationInformation_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,ConfigurationInformation_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,ConfigurationInformation_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,ConfigurationInformation_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,ConfigurationInformation_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,ConfigurationInformation_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,ConfigurationInformation_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,DataExchangeService_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,DataExchangeService_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,DataExchangeService_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,DataExchangeService_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,DataExchangeService_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,DataExchangeService_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,DataExchangeService_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,DataExchangeService_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,DataExchangeService_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,DataExchangeService_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,DataExchangeService_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,DataExchangeService_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,DataExchangeService_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,DefaultDocumentConfig_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,DefaultDocumentConfig_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,DocumentAttributes_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,DocumentAttributes_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,DocumentAttributes_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,DocumentAttributes_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,DocumentAttributes_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,DocumentAttributes_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,DocumentAttributes_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,DocumentAttributes_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,DocumentAttributes_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,DocumentAttributes_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,DocumentAttributes_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,DocumentAttributes_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,DocumentAttributes_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,DocumentTypes_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,DocumentTypes_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,DocumentTypes_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,DocumentTypes_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,DocumentTypes_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,DocumentTypes_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,DocumentTypes_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,DocumentTypes_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,DocumentTypes_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,DocumentTypes_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,DocumentTypes_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,DocumentTypes_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,DocumentTypes_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,EmailTemplateMaster_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,EmailTemplateMaster_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,Exception_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,Exception_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,Exception_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,Exception_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,Exception_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,Exception_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,Exception_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,Exception_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,Exception_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,Exception_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,Exception_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,Exception_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,Exception_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,ExceptiontType_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,ExceptiontType_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,ExceptiontType_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,ExceptiontType_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,ExceptiontType_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,ExceptiontType_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,ExceptiontType_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,ExceptiontType_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,ExceptiontType_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,ExceptiontType_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,ExceptiontType_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,ExceptiontType_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,ExceptiontType_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,ExtractionException_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,ExtractionException_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,ExtractionException_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,ExtractionException_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,ExtractionException_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,ExtractionException_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,ExtractionException_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,ExtractionException_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,ExtractionException_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,ExtractionException_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,ExtractionException_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,ExtractionException_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,ExtractionException_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,ExtractionMaster_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,ExtractionMaster_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,ExtractionMaster_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,ExtractionMaster_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,ExtractionMaster_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,ExtractionMaster_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,ExtractionMaster_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,ExtractionMaster_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,ExtractionMaster_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,ExtractionMaster_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,ExtractionMaster_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,ExtractionMaster_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,ExtractionMaster_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,IndustryType_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,IndustryType_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,IndustryType_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,IndustryType_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,IndustryType_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,IndustryType_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,IndustryType_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,IndustryType_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,IndustryType_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,IndustryType_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,IndustryType_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,IndustryType_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,IndustryType_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,Integration_Config_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,Integration_Config_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
DataSync,Integration_Config_dss_tracking,scope_update_peer_key,int,,10,0,YES,,3,NO,idp
DataSync,Integration_Config_dss_tracking,scope_update_peer_timestamp,bigint,,19,0,YES,,4,NO,idp
DataSync,Integration_Config_dss_tracking,local_update_peer_key,int,,10,0,NO,,5,NO,idp
DataSync,Integration_Config_dss_tracking,local_update_peer_timestamp,timestamp,,,,NO,,6,NO,idp
DataSync,Integration_Config_dss_tracking,create_scope_local_id,int,,10,0,YES,,7,NO,idp
DataSync,Integration_Config_dss_tracking,scope_create_peer_key,int,,10,0,YES,,8,NO,idp
DataSync,Integration_Config_dss_tracking,scope_create_peer_timestamp,bigint,,19,0,YES,,9,NO,idp
DataSync,Integration_Config_dss_tracking,local_create_peer_key,int,,10,0,NO,,10,NO,idp
DataSync,Integration_Config_dss_tracking,local_create_peer_timestamp,bigint,,19,0,NO,,11,NO,idp
DataSync,Integration_Config_dss_tracking,sync_row_is_tombstone,int,,10,0,NO,,12,NO,idp
DataSync,Integration_Config_dss_tracking,last_change_datetime,datetime,,,,YES,,13,NO,idp
DataSync,LocationMaster_dss_tracking,ID,int,,10,0,NO,,1,YES,idp
DataSync,LocationMaster_dss_tracking,update_scope_local_id,int,,10,0,YES,,2,NO,idp
